name,country,pyram
Thomas Curnow,Australia,962
Artyom Shevchenko (Артём Шевченко),Russia,962
Rick Hamburger,Netherlands,962
Maksim Demchenko (Максим Демченко),Russia,962
Matheo Stauffer,Sweden,962
Astrid Lacotte,France,961
Pavlo Bondar (Павло Бондар),Ukraine,961
Louis Cormier,Canada,961
Bharadwaj Duggaraju,India,961
Ziming Guo (郭子鸣),China,961
Mihnea Andrei Panţu,Romania,961
Akhil Kota,India,961
Scott Weston,USA,961
Kymberlyn Calderon,USA,961
Sören Jaan Handschuch,Germany,961
Samuel Scherrer,Canada,961
Jack Bellomy,USA,961
Samuel Simko,Slovakia,961
Lam Yu Ching (林雨晴),Hong Kong,961
Vishal Mohanraju,India,960
Rory Bailey,New Zealand,960
Sophia Mykhaylyk,Australia,960
Arseniy Dyachenko,Russia,960
Guangtao Zhang (张广韬),China,960
Angela Braganza,New Zealand,960
Hsiu-Lin Chuang (莊修霖),Taiwan,960
Harry Loiterton,Australia,960
Joshua Feran,USA,959
Ezra Kiripatea,New Zealand,959
Abhay Cheemalapati,USA,959
Zhenrun Song (宋贞润),China,959
Mikhail Kalashnikov (Михаил Калашников),Russia,959
Cassius Evangelista,Australia,959
Frederik Løchte,Denmark,959
Aleksey Zuev,Russia,958
Jan Riedl,Czech Republic,958
Sarah Fluck,United Kingdom,958
Maximilian Elsener,Switzerland,958
Jose Polorhenzo Aquino,Philippines,957
Zach Amiridis,Australia,957
Ksenia Esipova (Ксения Есипова),Russia,957
Amelia Krieg,USA,957
Cai Zhang (张材),China,957
Zhiyuan Ma (马之元),China,957
Tyler Dipper,New Zealand,957
Graham Siggins,USA,956
Zihan Zhang (张子涵),China,956
Zaky Kurnia Falah,Indonesia,956
Nathaniel Thornell,USA,956
Lorenzo Gentili,Italy,956
Ryan Yasinko,Canada,956
Tomasz Cepil,Poland,956
Francesco Odorizzi,Italy,956
Jiaxuan Liu (刘佳璇),China,956
Bill Hammill,United Kingdom,955
Stepan Anisimov (Степан Анисимов),Russia,955
Csaba Farkas,Hungary,955
Mateusz Gołaś,Poland,955
Nikolay Nikitin (Николай Никитин),Russia,955
Giles Mampaey,Belgium,955
Krishang Agarwal,India,955
Patryk Grosiak,Poland,954
Ivan Terekh,Belarus,954
Manuel Gutman,Argentina,954
Fedor Khokhryakov,Russia,954
Viggo Fröcklin,Sweden,954
Austin Chen,USA,954
Dilan Anand,Australia,954
José Antonio Rozas-Peña Gaete,Chile,954
Stefan Zajder,Poland,954
Andrey Mishin,Russia,954
Joel David Hibbert,Australia,954
