Ivaylo Ivaylov Vichev,Bulgaria,739
Mattheo de Wit,Netherlands,739
Guangtao Zhang (张广韬),China,738
Vasco Vasconcelos,Portugal,738
Xingkai Yin (尹星凯),China,738
Ricardo Olea Catalán,Germany,738
Mok Man Kit (莫文傑),Hong Kong,738
Marco Rota,Italy,738
Dalton Padgett,USA,737
Oliver Fritz,Germany,736
Shu-Yii Luo (駱書翊),Taiwan,736
Petar Mladenović,Kosovo,736
Camden Morgan,USA,736
Niño Francis S. Reyes,Philippines,735
Liam Highducheck,Australia,735
Noah Haaning Jensen,Denmark,734
Aleksandra Veshkurtseva,Russia,734
Erdos Toleugazyev (Ердос Толеугазыев),Kazakhstan,734
Jack Bellomy,USA,734
Robert Alden,United Kingdom,734
Diego Alfonso,France,734
Akın Köse,Turkey,734
Teri McAcy,USA,733
Lin Chen (陈霖),China,733
Pascal Ordano,Argentina,733
Dániel Varga,Hungary,732
Dmitry Shelomencev,Russia,732
Christian Angelo Araneta Naguio,Philippines,731
Fabio Schwandt,United Kingdom,731
Harry Savage,United Kingdom,731
Alexander Bashutkin,Russia,730
Gjorgji Cheshmedjievski,North Macedonia,730
Lucinda Zhou,USA,730
Xiang Li (李响),China,729
Michał Krasowski,Poland,729
Jonathan Esparaz,Canada,728
Niko Ronkainen,Finland,728
Anunak Roy,India,728
Aolin Tang (唐奥林),China,727
Antonio López,Spain,727
Trần Đình Anh,Vietnam,726
Andrey Radaev (Андрей Радаев),Russia,726
Fung Hoi Yin (馮凱賢),Hong Kong,726
Luca Brasini,Italy,726
Ali Antar,Egypt,726
Vincent Hartanto Utomo,Indonesia,725
Jorge Rafael Castañeda Sánchez,Mexico,725
Luke Garrett,USA,725
Zehan Ye (叶泽瀚),China,725
Khondoker Fazle Rabbi Sourov,Bangladesh,725
Martín Mercado,Chile,725
Jaden Froese,Canada,724
Eduardo Antonio Lara Martínez,Mexico,723
Rui-Jun Liu (劉睿鈞),Taiwan,723
Alvin Yang,China,722
Trenton Beatty,USA,722
Darcy Way,Australia,721
Shivam Bansal,India,721
Sébastien Auroux,Germany,721
Tomasz Cepil,Poland,721
Ray Leung Ka Ho (梁家浩),Hong Kong,720
Benjamin Tibbetts,USA,720
Arden Daniel Jacobson,USA,720
Carlos Francisco Suárez Sauca,Spain,720
Amir Husain,Kazakhstan,720
Linus Frész,Germany,720
Jack Vernon Gentile,USA,720
Jan Staubach,Germany,720
John Dirks,Germany,720
Dougal Merriman,New Zealand,720
Baptiste Hennuy,France,720
Benson Lau,Canada,719
Oleg Liven,Russia,719
Beom San Kim (김범산),Korea,719
Joy Liou Liu (刘丽欧),China,719
Luka Jankovic,Serbia,719
Aquila Janoschka,Australia,718
Guillaume David,Belgium,718
Jakub Grzyb,Poland,717
Matías Araujo,Argentina,717
Patrick Kleverlaan,Australia,717
Ng Shu Xuan (黄璇宪),Malaysia,717
Timothy Castle,USA,717
Luis Angel Soto Castillo,Panama,717
Will Fairfax,New Zealand,717
Gage Coon,USA,716
Alejandro Cisneros Bracho,Mexico,716
Zhekai Deng (邓喆锴),China,716
Shane Grogan,USA,716
Ryan Minjun Cho,Canada,716
Samay Saini,India,715
Heng Wu (吴桁),China,715
Davis Joel Fonseca Rios,Panama,714
Jacob Chambers,United Kingdom,714
Semen Artyukhov,Russia,714
Sebastian Bock,Australia,713
Leon Tran,Australia,713
Maksymilian Misiak,Poland,712
Diego Alonso Tapia Mera,Chile,712
Yumeng Han (韩雨濛),China,711
Sean Moran,United Kingdom,711
Raymond Goslow,USA,711
Eduardo Rafael Mendiola Rosas,Mexico,711
Orion Moore,USA,711
Timur Mavlyanov,Uzbekistan,711
Chengxiang Cui (崔程翔),China,710
Hau-Yu Huang (黃浩宇),Taiwan,710
Giovanni Contardi,Italy,710
Daniel Escobar,Guatemala,710
Brandon Harris,New Zealand,710
Jhon Edinson Arias Parra,Colombia,709
Dale Stephen M. Palmares,Philippines,709
Pavel Mesyatsev,Russia,709
Maksym Yeli (Максим Єлі),Ukraine,709
Filip Kleczewski,Poland,708
Joshua Feran,USA,708
Alese Devin,USA,708
Maxim Ilin,Russia,708
Nathan Soria,USA,708
Wojciech Piórczyński,Poland,708
Ishaan Lal,USA,708
Ewsey Obzherin,Russia,707
Benjamin Gottschalk,USA,707
Youbin Zheng (郑友彬),China,707
Leonard Wetzel,Germany,707
Christopher Morris,United Kingdom,706
Azamat Tuko,Russia,706
Niclas Mach,Germany,706
Anatole Volongo,France,706
Nguyễn An Phong,Vietnam,706
Jiahao Deng (邓家豪),China,706
Roan Paone,Canada,705
Kerry Creech,USA,705
Harrison Hollands,Australia,704
