name,country,444bf
Gregory Lopez,USA,551
Shuji Endo (遠藤修司),Japan,551
Elijah Brown,USA,551
Eason Siew Ee Son (蕭奕晨),Malaysia,550
Matthew Prestwich,United Kingdom,550
Callum Goodyear,United Kingdom,549
Haoyang Yan (晏浩洋),China,549
Vincent Hartanto Utomo,Indonesia,547
Igor Tarasov (Ігор Тарасов),Ukraine,544
Mark Boyanowski,USA,540
Lusheng Chen (陈露生),China,540
Joe Akehurst,United Kingdom,539
Calvin Nielson,USA,538
Raiyan Abdulrub,Canada,537
Adam Ahmad,USA,537
Richard Anthony Parada,USA,536
Danila Ryabinin,Russia,535
Liam Sweet,Australia,535
Marco Edoardo Cittar,Italy,535
Sean Hartman,USA,534
Akash Rupela,India,533
Henri Gerber,Germany,533
Ben Yu,USA,533
Ting He (禾廷),China,532
Lucas Jarana,United Kingdom,532
Zixing Wang (王子兴),China,532
Kevin Min,Korea,532
Kazutaka Watanabe (渡部和孝),Japan,531
Angel Alexis Carrillo Ramirez,Mexico,531
Choi Go-Ho (최고호),Korea,530
John F. Kronkvist,USA,530
Manfred Siew Ee Sheng (蕭奕晟),Malaysia,530
Mike Hughey,USA,529
Christian Angelo Araneta Naguio,Philippines,529
Tianyu Zhao (赵天愉),China,529
Arvind Manohar,USA,529
Craig Bouchard,Canada,529
Clarence Kinsey G. Orozco,Philippines,529
Ivan Osovik,Russia,529
Vilius Ribinskas,Lithuania,528
Eben Quenneville,USA,528
Natanael Lundberg,Sweden,528
Vladimir Okenchits,Russia,528
Moritz Lotz,Germany,527
Jianxu Chen (陈建旭),China,527
Orrin Simpkins,USA,527
Wilmer Torres,Guatemala,526
Yumeng Zhou (周雨萌),China,525
Leslie Sampson,USA,525
Henrik Buus Aagaard,Denmark,524
Minyang Shi (时旻扬),China,524
Owen Widdis,USA,524
Alon Ron,Israel,524
Tomoya Firman,Australia,523
Lanshi Zhang (张岚石),China,523
Caleb Clark,Australia,523
Jesús Fernando Castelán Gómez,Mexico,523
Farid Mikhailov,Kazakhstan,522
Tom Stanton-Barnett,New Zealand,522
Joel Ulin,Sweden,521
Radosław Opoka,Poland,521
Hiroki Iwashita (岩下大輝),Japan,521
Yikuan Kan (阚亦宽),China,520
Artem Kuminov,Russia,520
Ben Marlin,USA,518
Şmit Andrei Oanea,Romania,518
Xinyun Chen (陈新运),China,518
Jair Sosa,USA,517
Lorenzo Mauro,Italy,517
Jareth Soong,Singapore,516
Wilson Li,USA,516
Dongzhe Li (李东哲),China,516
Jacob Chambers,United Kingdom,515
Jack Fidler,United Kingdom,515
Preston Duke,USA,515
Eng Dickson (黄迪胜),Malaysia,515
Carter Thomas,USA,515
Anqi Yu,Bulgaria,514
Firstian Fushada (符逢城),Indonesia,514
Ko Youngjin (고영진),Korea,514
Jason Kochan,USA,513
Stephen Bohner,USA,513
Shenghai Fang (方胜海),China,512
Yang Li (李扬),China,511
Ang Chin Zhen (洪靖程),Malaysia,511
Fabian Common,Germany,511
César Mora Escobar,Mexico,510
William Gan Wei Ren (颜伟仁),Malaysia,510
Pacifico Rodriguez,Switzerland,510
Taha Ben Salah,Tunisia,510
Ethan Rusnak,Canada,509
Joseph Williams,United Kingdom,509
Ivan Miletić,Serbia,509
Anuj Singh Negi,India,509
Abhimanyu Singhal,India,508
Zachary Barrus,USA,508
Alex Hauben,USA,507
Michael Bradley,Canada,507
Kiagus Ahmad Haikal Hafif Hamidy,Indonesia,506
DongSu Park (박동수),Korea,506
Erik Kippus,Estonia,506
Marcel Ručigaj,Slovenia,506
Matteo Chancerel,France,505
Knut Skaug Haraldsen,Norway,504
Alistair Robequin,Switzerland,503
Steve Clarke,United Kingdom,503
Will Russo,USA,503
Chunyu Zhang (张春雨),China,503
Xiaobo Hou (侯晓博),China,503
Egor Besedin (Егор Беседин),Russia,503
Mateusz Gil,Poland,502
Jim Zhu,New Zealand,502
Alexey Semichastnov,Russia,501
Lucas Maillard,France,501
Dylan Wang,Canada,500
Elias Fischer,Germany,500
Zeke Mackay,USA,500
Tamara Macadam,Australia,499
Ekaterina Kaneva,Russia,497
Roman Kostyukov,Russia,497
Brandon Lin,USA,497
Luke Van Laningham,USA,497
Jan Riedl,Czech Republic,496
Avshalom Sharavani,Israel,496
Conor Sullivan,Australia,496
Duman Talgatuly (Думан Талгатулы),Kazakhstan,496
Kasparas Lienys,Lithuania,495
Anonymous,Canada,495
Yuxin Wang (王宇欣),China,495
Yutao Guo (郭宇韬),China,494
Donna Krueger,USA,494
Haoyang Chen (陈浩杨),China,493
Luke Heath-Edwards,New Zealand,492
Adam Burk,USA,491
Aneurin Hunt,New Zealand,491
Pamulapati Sai Teja,India,489
Mathieu Hudon,Canada,489
Claudio Bentivoglio,Italy,489
Stanley Nerkowski IV,USA,489
Joseph Tudor,United Kingdom,488
Noah Swor,USA,488
