name,country,clock
Kyeongmin Choi,Korea,738
Mihály Horváth,Hungary,738
Aaron Soley,USA,738
Chengzhi Jin (金程智),China,737
Jordan Granados,USA,737
Matthew Dickman,USA,737
Vladyslav Hryniuk (Владислав Гринюк),Ukraine,737
Caleb Kearney,USA,737
Vicenzo Guerino Cecchini,Brazil,737
Andreas Østergaard,Denmark,737
Marco Manno,Italy,737
Magnus Søndergaard Byrne,Denmark,736
Raymond Goslow,USA,736
Jingbin Li (李晶斌),China,736
Daniel Yakhkind,Israel,736
Nicholas Bezzerides,USA,736
Christopher Chi,USA,735
Marcos Meibel Corral Murillo,Mexico,735
Zifeng Lin (蔺子丰),China,735
Mehrdad Navidian Mehr (مهرداد نویدیان مهر),Iran,735
Zhaoqi Wang (王昭琦),China,735
Ilya Shalashny (Илья Шалашный),Russia,735
Zifeng Zhou (周子枫),China,735
Hisashi Imai,Japan,734
John Albright,USA,734
Vasu Gondaliya,India,734
Ryan Yasinko,Canada,734
Marcus Moberg,Sweden,734
Srijan Adhikari,Nepal,734
Alexis Rodrigo Cazu Mendoza,Mexico,733
Nishad Khade,India,733
Shu Ogawa (小川柊),Japan,733
Vilius Ribinskas,Lithuania,733
Tomasz Larysz,Poland,733
Li Xiaotian,China,733
Dennis Rosero,Colombia,732
Kymberlyn Calderon,USA,732
Bartłomiej Krokos,Poland,732
Preston Duke,USA,731
Iván Guerrero Juárez,Mexico,731
Akmal Abduazizov,Uzbekistan,731
Dominik Fürer,Switzerland,731
Artem Kapustinskiy (Артем Капустинский),Russia,731
Angelo Pio Lo Giudice,Italy,731
Shourya Upadhyay,India,731
Dan Pastushkov,USA,731
Konstantin Solovev (Константин Соловьёв),Russia,731
Yizhou Zhou (周亦舟),China,730
Yu-Kuan Hsieh (謝予寬),Taiwan,730
Graham Stack,New Zealand,730
Konstantin Jaehne,Germany,730
Alexander Botz,Germany,730
Christoph Jadan,Russia,730
Aleksei Ushachev,Russia,730
Jorge Mario Gurdián Flores,Nicaragua,729
Mikhail Evtiukhov (Михаил Евтюхов),Russia,729
Ryan Pilat,USA,729
Igor Tarasov (Ігор Тарасов),Ukraine,729
Sam Adams,USA,728
Heng Guo (郭恒),China,728
Piotr Ochal,Poland,727
Chenhao Ma (马晨皓),China,727
Bryan Eng,Australia,727
An Li (李安),China,726
Donghao Xu (许东豪),China,726
Guy Taragano,Israel,726
