name,country,sq1
Nathan Dwyer,USA,800
Chenkai Shen (沈宸恺),China,800
Nathan Barbre,USA,800
Javier López Fernández,Spain,800
Ethan Lai,USA,800
Brennen Lin,Canada,799
Ekaterina Kaneva,Russia,799
Leonid Zakharov (Леонид Захаров),Russia,799
Iurii Chesnokov (Юрий Чесноков),Russia,799
Samuel Park,New Zealand,799
Jayden McNeill,Australia,799
Stephen Waller,United Kingdom,798
Alimzhan Kenesbek (Алимжан Кенесбек),Kazakhstan,798
Fikri Ahmad Nabigha,Indonesia,798
Luke Galioto,USA,798
Timothy Lawrance,South Africa,798
Jeremy Foott,Australia,797
Mitchell Hum,USA,797
Anqi Yu,Bulgaria,797
Ethan Basanov,Canada,797
Bryant Farrel Titanius,Indonesia,797
Tyler Williams,Australia,796
Zee Capangpangan,Philippines,796
Chia-Jui Lin (林家睿),Taiwan,796
Daniel Rush,South Africa,796
Akın Köse,Turkey,796
Birkan Mayadağ,Turkey,795
Dylan Johnston,Australia,795
Farhan Tanvir Fahim,Bangladesh,795
Viacheslav Osminin,Russia,795
Zhi-Bo Lien (連致博),Taiwan,794
Luke Dufty,New Zealand,794
Peng Wang (王鹏),China,794
Sanjay Jacob,India,794
Marlon de V. Marques,Brazil,794
Berk Rende,Turkey,794
Dmitry Kryuzban,Russia,793
Zhanat Kazez (Жанат Казез),Kazakhstan,793
Anuar Miguel Abib Onofre,Brazil,793
Lucas Barbosa Brito,Brazil,793
Samuel Flórez Carvajal,Colombia,793
Antto Pitkänen,Finland,793
Yuhang Sun (孙煜航),China,793
Tomasz Pietruszka,Poland,793
Max Blechman,USA,793
Matthew Siegel,Thailand,792
Ayden Nguyen,Canada,792
Conor Sullivan,Australia,792
Arush Singh,India,792
Andrey Kocharin (Андрей Кочарин),Russia,792
Olivier Vos,Netherlands,792
David Vujasić,Croatia,792
Benicio Lins Pinheiro,Brazil,792
Alexander Shishkov (Александр Шишков),Russia,792
Walter Duff,Canada,792
Pavlo Bondar (Павло Бондар),Ukraine,792
Ely Charqueno,USA,792
Christopher Fandrich,USA,791
Oliwier Tkaczyk,Poland,791
Tim Gajewi,Germany,791
Borys Chojak,Poland,791
Joaquin Ruenes Hernández,Mexico,791
Bogdan Pominov (Богдан Поминов),Russia,791
Pessi Ansaranta,Finland,790
Lucas Kuczaj,Canada,790
Davron Takhirov,Uzbekistan,790
Fengyan Zhang (张枫岩),China,790
Konrad Leśniak,Poland,789
Alex Davani,USA,789
Patrick Fischer,USA,788
Wouter Komduur,Netherlands,788
Kate Grahame,USA,788
Sebastian Werb,Germany,787
Haotian Wang (王昊天),China,787
Daphne Soegijono,Indonesia,787
Zixuan Liu (刘子瑄),China,787
Jakub Grzyb,Poland,786
Xiangyan Jin (金香延),China,786
Hong-An Lai (賴泓安),Taiwan,786
Jason Ostdiek,USA,786
Nick Nijssen,Netherlands,786
Kit Clement,USA,785
Jeann Valdez,Australia,785
Marcos Josías Antigua Lebrón,Dominican Republic,785
Iftakharul Islam,Bangladesh,785
Robert G. Pearce IV,USA,785
Amir Husain,Kazakhstan,785
RJ Gohn,USA,785
Andrey Mishin,Russia,784
Ruei-Jyun Chang (張睿鈞),Taiwan,784
Logan Day-Richter,USA,784
Antonio Gabriel Freitas da Silva,Brazil,783
Andrew Rizo,USA,783
Elliott Perkins,USA,782
Mikhail Glazov (Михаил Глазов),Russia,782
Yuxuan Zheng (郑誉轩),China,782
Sergey Eremin (Сергей Еремин),Russia,782
Wout Plaum,Belgium,781
Lorenzo Franco Kasilag,Philippines,781
Andrey Mrinskiy (Андрей Мринский),Russia,781
Daniel James,India,781
Samuel Du,USA,781
Sebastian Carrillo,USA,781
Stephen Bohner,USA,780
Joe Greenland,United Kingdom,780
Ilya Shalashny (Илья Шалашный),Russia,780
Grzegorz Szumigaj,Poland,780
Ruoxin Zhou (周若昕),China,779
Roan Paone,Canada,779
Andrey Vysotin (Андрей Высотин),Russia,779
Muhsin Mert Arslan,Turkey,779
Santeri Laine,Finland,779
Nikolay Ambrosiy (Николай Амбросий),Russia,778
Aiden Hermary,Canada,778
Aaron Ariff,Malaysia,778
Oscar Liang,Australia,778
Kristopher De Asis,Canada,777
Alvar Nylén,Sweden,777
Jose Daniel Solano Rodríguez,Costa Rica,777
Alejandro Soriano,Spain,777
Rafae Rajani,Australia,776
Silas Kampp Richter Lassen,Denmark,776
Andrés Hisashi Suzuki,Peru,776
Benjamin John McConkie,USA,776
Kun Er Zhang,New Zealand,776
Will Newhoff,USA,776
Kevin Min,Korea,776
Rasmus Händén,Sweden,775
Bartosz Krogul,Poland,775
Xulang Li (黎旭朗),China,775
Zach Amiridis,Australia,775
Ivan Polkanov (Иван Полканов),Russia,775
Karsen Oun,Canada,774
Aset Agabekov (Асет Агабеков),Kazakhstan,774
Paul Galioto,USA,774
Avanish Ayyappan,India,774
CJ Dresdner,USA,774
Rustin Haderlie,USA,774
Sumanth Chandrupatla,USA,774
Oscar Watson,Australia,774
José Eduardo Palacios Castro,El Salvador,774
Sean Moran,United Kingdom,774
Sicheng Gu (顾思成),China,774
Bandar Al Aish,Bahrain,774
Timofey Dementev,Russia,773
Elliott O’Brien,New Zealand,773
Bogdan Oreshin (Богдан Орєшін),Ukraine,773
Mahmoud Salah El Deberky,Egypt,773
Sam Thessen,USA,773
Shyngys Sharapadin (Шынгыс Шарападин),Kazakhstan,773
Teh Zhe Wen (郑哲文),Malaysia,773
Kirill Levchuk (Кирилл Левчук),Russia,773
Carson Deibert,Canada,772
Lachlan Stephens,Australia,772
Dmitriy Kukuev,Russia,771
