name,country,skewb
Marco Giordano,Italy,949
Peyton Bouma,USA,949
Stevie Shogren,USA,949
Nicolas Gertner,France,949
William Niewand,Australia,948
Jacob Turrubiartes,USA,948
Gustav Wälivaara,Sweden,948
Hargun Singh Tikku,India,948
Bruno Di Renzo John,Germany,948
Michael Larsen,USA,948
Burak Erdil Biçer,Turkey,948
Oliwier Tkaczyk,Poland,948
Artem Barlyak (Артём Барляк),Russia,947
Zeke Mackay,USA,947
Marcus Kamen,USA,947
Iurii Chesnokov (Юрий Чесноков),Russia,947
Myles Jarman,Australia,947
Jiazhou Li (李佳洲),China,947
Adarsh Natarajan,Australia,947
Ben Baron,Israel,947
Daniel McDonald,Australia,947
Charles Jerome,USA,947
Matthew Sieredzinski,Australia,947
Joaquin Ruenes Hernández,Mexico,946
Ricky Zhang,Australia,946
Ilya Epifanov,Russia,946
Aleksandra Lukianova (Александра Лукьянова),Russia,946
Slavomil Voloskov (Славомил Волосков),Russia,946
Spencer Stutzman,USA,946
Xinyang Li (李昕洋),China,946
Nikhil Soares,India,946
Vaibhav-Jai Ravipati,Australia,946
Jusun Choi (최주선),Korea,945
Danila Dubovik,Belarus,945
Igor Kolosov (Игорь Колосов),Russia,945
Harrison O'Reibow,New Zealand,945
Dawid Wójcik,Poland,945
Muhammad Saleh Imtiaz,Pakistan,945
Ethan Pride,Australia,944
Tommy Cherry,USA,944
Derek White,USA,944
Anqi Yu,Bulgaria,944
Remo Pihel,Estonia,944
Xujia Lei (雷旭嘉),China,943
David Vujasić,Croatia,943
Kacper Grzelakowski,Poland,943
Kobe Balin,USA,943
CJ Sheng,USA,943
Luca Spataro,USA,943
Melisa Şen,Turkey,942
Ryan Wu,Canada,942
Nafi Aryasatya,Indonesia,942
Paweł Duraj,Poland,942
David Añel,USA,942
Vincent Hartanto Utomo,Indonesia,942
Arseniy Dyachenko,Russia,942
Alexander Botz,Germany,941
Myles Segal,Australia,941
Glenn Kadio-Morokro,USA,941
Isaac Myers,USA,941
Eemil Lahti,Finland,940
Fabian Browa,Germany,940
Qingze Li (李庆泽),China,940
Silas Kampp Richter Lassen,Denmark,940
Wouter Komduur,Netherlands,940
Diego Alfonso,France,939
Sean Moran,United Kingdom,939
Joey Stahl,USA,939
Roman Ponikarovskiy,Russia,939
Julio Perugorria Lorente,Spain,939
Manuel Prieto de Antón,Spain,939
Shrijan Pal,India,939
Theo Skoog,Sweden,939
Chase Karr,USA,938
Toby Dixon,New Zealand,938
Benjamin Pugh,USA,938
Yifan Chen (陈一凡),China,937
Krish Shah-Nathwani,USA,937
Jose Ortiz Jr.,USA,937
William Gan Wei Ren (颜伟仁),Malaysia,937
Simon Praschl,Austria,937
Yue Xin (辛岳),China,937
Jensen Belen-Brown,Canada,937
Joshua Tekwie,Papua New Guinea,937
Yannic Waser,Switzerland,937
Adriel Wiebe,USA,936
Eli Jacobsson,Australia,936
Francisco Hamlin,Argentina,936
Artem Kulikov (Артём Куликов),Russia,936
River Fletcher,Australia,936
Jaime Calzado Gomez,Spain,936
Arhaan Sareen,Canada,936
Ng Jia Quan (黄佳铨),Malaysia,935
Alan Ranie,Australia,935
Gleb Ponomarev (Глеб Пономарев),Russia,935
Sameer Aggarwal,USA,935
Ivan Lobutev (Иван Лобутев),Russia,935
Zhuoer Zhang (张卓尔),China,935
Alexander Bashutkin,Russia,934
Mikaela Davidson,New Zealand,934
Tom Salmon,United Kingdom,934
Luke Robles,USA,934
Young He (何嘉炀),China,933
Jeremy Gassman,USA,933
Joe Labas,Australia,933
Shek Ho Hin (石灝軒),Hong Kong,932
Dylan Baumbach,USA,932
Zayabaatar Batbayr,Mongolia,932
Owen Rair,USA,932
Lorenzo Layug,Philippines,932
Menghao Zhao (赵梦豪),China,932
Ewan Geertson,New Zealand,932
Ege Onat Ünlüer,Turkey,932
Yinghao Wang (王鹰豪),China,932
Stepan Anisimov (Степан Анисимов),Russia,932
Firstian Fushada (符逢城),Indonesia,932
Tobias Peter,Switzerland,932
Ulrik Bredland,Norway,932
Sebastian Bock,Australia,932
Jack Stewart,USA,932
Tom Stanton-Barnett,New Zealand,931
Anton Kraev,Australia,931
Mannessah Kani,Australia,931
Josiah Freudigmann,Australia,931
Vladimir Semidyanov,Russia,931
Kirby Jay Caragan,Philippines,931
Adam Jagła,Poland,930
Zheyu Zhang (张哲宇),China,930
Ofek Egozi,Israel,930
Aaron Huynh,USA,930
Tyler Johnson,USA,930
Luqman Hakim Bin Hairil Azli,Malaysia,929
Arden Daniel Jacobson,USA,929
Anders Berggren,Sweden,929
Sam Sieracki,Australia,929
Khavin Janarthana,India,929
Ethan Basanov,Canada,929
Ray Zhang (张灏睿),Australia,929
Justin Choi,USA,929
AJ Le,USA,929
Lucas Buckley,Australia,928
Helmer Ewert,Sweden,928
Bhargav Narasimhan,India,928
Tyler Buel,USA,928
Felicitas Eknigk,Germany,928
Héctor Haro Guerrero,Spain,927
Caden Scott,USA,927
Anton Uskov (Антон Усков),Russia,927
Oscar Liang,Australia,927
Thomas Lampe,Netherlands,927
Liam Brown,Australia,927
Viktor Shmakov (Віктор Шмаков),Ukraine,927
Elian Beguec,France,927
Ben Jantke,Australia,927
Jude Doland,USA,926
Christian Manuel de Lange,New Zealand,926
Kai-Lun Cheng (鄭凱倫),Taiwan,926
Fletcher Johns,New Zealand,926
Jacob Nobili,USA,926
Abhay Cheemalapati,USA,926
Yepeng Sun (孙叶芃),China,926
Maciej Brzeziński,Poland,926
Key Yu Wan,Brazil,926
Nixon Winger,USA,925
Mikhail Yasinsky,Ukraine,925
Haochen Mei (梅皓臣),China,925
Tyler Howlett,USA,925
Jan van Dorst,Netherlands,925
Vladyslav Hryniuk (Владислав Гринюк),Ukraine,925
Burçak Bilge Başaranoğlu,Turkey,924
Xuyang Chen (陈徐洋),China,924
Lucas Vojkovic,Australia,923
Tyler Kochy,USA,923
Larry Shi,Canada,923
Igor Tarasov (Ігор Тарасов),Ukraine,923
Maxim Brednev (Максим Бреднев),Russia,923
Cameron Miller,USA,923
Dalibor Mrška,Slovakia,922
Ben Zwicky,Switzerland,922
Gerard McGinley,Australia,922
Leonardo Randacio,Italy,922
Thomas Smith,Australia,921
Eli Hickman,Australia,921
Jingpeng Wu (吴劲芃),China,921
Diego Fraile,France,921
Malte Oliver Bøgh Kjøller,Denmark,921
Andrey Mishin (Андрей Мишин),Russia,921
Sergey Kharitonov (Сергей Харитонов),Russia,921
Brandon Clare,USA,920
Yaroslav Usmanov (Ярослав Усманов),Kazakhstan,920
Benjamin Riske,Australia,920
Joel Lundström,Sweden,920
Eli Kirk,USA,920
Guangda Liu (刘广达),China,920
Andres Rodriguez,USA,919
John Hornacek,USA,919
Alaik Bhatia,India,919
Rory Bailey,New Zealand,919
Marco Manno,Italy,919
2021IANI01,Null,919
