name,avgs,bpas,ratio
Marcin Stachura,758,122,1.049
Kazuhiro Fukada (深田和宏),131,13,1.049
Siau Hong Da (蕭宏達),127,23,1.049
Duval Valdes Ayala,126,16,1.049
Vasile Dan,199,26,1.049
Kavin Tangtartharakul,135,23,1.049
Amos Tay Swee Hui,146,23,1.05
Haozhen Jiang (江皓臻),119,20,1.05
Zhen-Chian Hong (洪蓁乾),96,15,1.05
Kaito Mori (森海斗),107,20,1.05
Shaowei Hou (侯少尉),112,6,1.05
Aditya Ghidora,133,15,1.05
Daniel Greigg,362,52,1.05
Yefeng Hu (胡叶枫),171,24,1.05
Daniel Yang,143,22,1.05
Alexander Yip,145,17,1.05
Roberto Bentivoglio,91,10,1.05
Julian Favell,95,20,1.05
Yu Byeong-Seon (유병선),140,20,1.05
Renxin Tang (汤任欣),419,56,1.05
Karolina Wiącek,153,18,1.05
Lauren Phung,517,69,1.05
Takuya Furukawa (古河拓也),140,23,1.05
Jack Haviland,95,13,1.05
Jay Benedict Alfaras,265,42,1.05
Anthony Hsu,203,35,1.05
Joanna Hołdakowska,101,16,1.05
Owen de Greeff,95,10,1.05
Ziyue Chen (陈子悦),108,14,1.05
Chloé Demuynck,234,37,1.05
Hugo Spitz,228,35,1.05
Cezary Rokita,170,21,1.05
Jerich Lee (李再圆),142,26,1.05
Kanneti Sae Han (คันธ์เนตี แซ่ห่าน),353,41,1.05
Andrew Xie,180,32,1.05
Michael Röhrer,718,114,1.05
Zhengfen Huang (黄政奋),102,18,1.05
Andrew Ricci,263,55,1.05
Erick Lemus Fuentes,263,41,1.05
Henry Savich,598,99,1.05
Hannes Müller,195,24,1.05
Finn Trass,164,23,1.05
Ciarán Beahan,751,110,1.05
Derek Kong,112,19,1.05
Loic Chiang,140,25,1.05
Sam van Vliet,96,15,1.05
Wataru Hashimura (端村航),407,51,1.05
Lin Chen (陈霖),393,56,1.05
Angeline Wijaya (黃千儀),281,35,1.05
Maya Maghiar,117,16,1.05
Emilio Eleodoro Ramírez Lahsen,209,43,1.05
Chloe Lee Synn Yii,112,13,1.05
DongHwan Lim (임동환),99,18,1.05
Stephen Griggs,636,85,1.05
Kevin Wilson,106,18,1.05
Rodrigo Aguilar,120,19,1.05
Billy Burier,258,37,1.05
Neel Shah,140,27,1.05
Volodymyr Korol (Володимир Король),468,69,1.05
Kabyanil Talukdar,93,13,1.05
Andrea Thull,229,39,1.05
Henry Helmuth,263,35,1.05
Bolivar Chafla,124,15,1.05
Luke Burong,243,38,1.05
Adrian Jorghy,142,23,1.05
Kristopher De Asis,425,63,1.05
Zerong Zheng (郑泽荣),124,20,1.05
Michael Chai (柴天方),308,42,1.05
Patrick Hetco,639,91,1.05
João Pedro Batista Ribeiro Costa,113,15,1.05
Takuma Daino (台野拓磨),98,13,1.05
Darya Belonogova,103,19,1.05
Brandon Delacruz,284,34,1.05
Brad Hoffman,129,16,1.05
Vincent Chen,267,35,1.05
Calvin Sall,128,20,1.05
Jhon Alexander Taboada Temple,182,24,1.05
Brian Acuña,125,17,1.05
Harald Stiff,114,13,1.05
Tim McMahon,232,36,1.05
Javid Nabizade,124,26,1.05
Erik Shakirov,141,18,1.05
Marcos Aparicio Caro,141,15,1.05
Grzegorz Jałocha,108,10,1.05
Roan Paone,206,24,1.05
Yiwei Liu (刘伊玮),325,41,1.05
Takahiro Tomisawa (富沢隆広),212,30,1.05
Christopher Yen,378,57,1.05
Daniel Hayes,91,8,1.05
Csaba Zsiborás,111,15,1.05
Zongwen Mu (牟宗文),117,21,1.05
Abdullah Gulab,121,13,1.05
Mark Boyanowski,462,57,1.05
Mihnea Andrei Panţu,283,45,1.05
Chris Foster,103,14,1.05
Przemysław Kaleta,837,122,1.05
Eric Yang,102,11,1.05
Jhonatan Reategui,176,29,1.05
Chad Batten,102,13,1.05
Błażej Morgała,179,26,1.05
John Staley,117,17,1.05
Nitin Subramanian,144,25,1.05
Guanchen Zhou (周冠辰),199,36,1.05
Chan Tak Chuen (陳德泉),466,58,1.05
Yuji Yoshida,383,54,1.05
Berk Rende,204,31,1.05
James Hamory,346,54,1.05
Jernej Omulec,512,85,1.05
Rūdolfs Vīnkalns,304,46,1.05
Alan Chang,212,30,1.05
Manfred Siew Ee Sheng (蕭奕晟),417,66,1.05
Kieran Dizon,404,46,1.05
Jiahao Deng (邓家豪),205,33,1.05
Alejandro Aguado Barahona,227,41,1.05
Cedric Meysing,141,15,1.05
