Rank,Name,Country,Average
417,Jiawei Wu (伍嘉维),China,442.22
418,Yuhang Sun (孙煜航),China,442.48
419,David Armstrong,USA,442.52
420,Dario Roa Sánchez,Spain,442.98
421,Smeling Becerra,Peru,443.01
422,Sam Schultz,USA,443.42
423,Jonathan Tan Wei Xiat,Malaysia,443.49
424,Emanuel Rheinert,Germany,443.64
425,Shaowei Hou (侯少尉),China,443.68
426,Andrii Kononenko (Андрій Кононенко),Ukraine,443.8
427,Dante Jesus Arevalo Leal,Mexico,444.35
428,Brian Johnson,USA,444.37
429,Erik Zimmermann,Germany,444.41
430,Yongting You (尤永庭),China,444.43
431,Simon Lim (林少秋),Philippines,444.48
432,Jibo Zhao (赵吉波),China,444.55
433,Vasco Vasconcelos,Portugal,444.6
434,Pavel Yushkevich,Belarus,444.64
435,Semen Artyukhov,Russia,444.67
436,Christian König,Germany,444.76
437,Kevin Lee,USA,444.84
438,Agustín Diano,Uruguay,444.9
439,Ryan Pilat,USA,445.07
440,Dan Cohen,USA,445.24
441,Andrey Molchan,Belarus,445.33
442,Karina Grandjean Beck,Denmark,445.38
443,Yunke Zhang (张云柯),China,445.66
444,Christopher Olson,USA,445.81
445,Dwyane Ramos,New Zealand,446.0
446,Adam Marcellus Kelly,USA,446.1
447,Yuji Yoshida,Philippines,446.25
448,Arush Singh,India,446.48
449,Cezary Rokita,Poland,446.52
450,Minkyu Shin (신민규),Korea,446.59
451,Ricardo Lutchman,USA,446.85
452,Feilong Tang (唐飞龙),China,447.1
453,Florian Harrer,Germany,447.15
454,Phillip Lewicki,USA,447.3
455,Yu Nakajima (中島悠),Japan,447.44
456,Sukant Koul,India,447.6
457,Noah Blevins,USA,448.13
458,Oliver Brookes,Sweden,448.25
459,Mark Ostrom,United Kingdom,448.29
460,Diego Alfonso,France,448.35
461,Massimiliano Iovane,Italy,448.41
462,Manuel Gutman,Argentina,448.59
463,Michael Röhrer,Austria,448.81
464,Haoxiang Ying (应浩祥),China,449.0
465,Erdos Toleugazyev (Ердос Толеугазыев),Kazakhstan,449.37
466,Micah Morrison,USA,449.52
467,Nicolás Sánchez,USA,449.57
468,Manuel Prieto de Antón,Spain,449.75
469,Mathias Søndergaard Byrne,Denmark,449.95
470,Juan de Dios Noriega Sánchez,Mexico,449.98
471,Jakub Wojtaszewski,Poland,450.0
472,Cel Adriane Lalo,Philippines,450.35
473,Byron Jin,USA,450.49
474,Angel Armando Jaime Sánchez,Mexico,450.55
475,Takayuki Ookusa (大艸尊之),Japan,450.62
476,Alejandro Daniel Salceda Corvera,Mexico,450.63
477,Hunor Bózsing,Hungary,450.77
478,Kymberlyn Calderon,USA,450.84
479,Christopher Morris,United Kingdom,450.93
480,Adrian Jorghy,Indonesia,451.3
481,Ziheng Ma (马子恒),China,451.36
482,Nela Sendlerová,Czech Republic,451.44
483,Rafael Carreiro Campos,Brazil,451.44
484,Henry Tang Kun Chung (鄧貫中),Hong Kong,451.67
485,Sheng-Wen Wang (王聖文),Taiwan,451.76
486,Genaro Sahib Leguizamon,Argentina,451.87
487,Krystian Załuski,Poland,452.07
488,Aharon Campoli Tono,Brazil,452.08
489,Jihao Zhang (张纪豪),China,452.39
490,Dmitry Dobrjakov,Russia,452.42
491,Asato Irifune (入船朝斗),Japan,452.48
492,Kamil Tkacz,Poland,452.52
493,Kerem Eroğlu,Turkey,452.55
494,Yuhei Takagi (高木佑平),Japan,452.56
495,Claudio Andre Gomez Villca,Bolivia,452.67
496,Bartłomiej Krokos,Poland,453.03
497,Michael Gottlieb,USA,453.21
498,Katie Davies,United Kingdom,453.48
499,Nguyễn Ngọc Thịnh,Vietnam,453.54
500,Sergio Emmanuel Sanchez Rodriguez,Mexico,453.62
501,Rodrigo Ugarte,Bolivia,453.71
502,Cai Ying (应才),China,453.81
503,Andy Denney,USA,453.87
504,Elias Fischer,Germany,454.18
505,Andreas Wagner,Austria,454.25
506,Jadon Castillo,USA,454.3
507,Tomoya Firman,Australia,454.35
508,Rui Yu (余睿),Taiwan,454.6
509,Aarav Gandhi,India,454.77
510,Shane Grogan,USA,454.77
511,Vilius Ribinskas,Lithuania,454.78
512,Yezhen Han (韩业臻),China,454.89
513,Xiaobin Rui (芮晓彬),China,455.14
514,Zhengli Ning (宁郑立),China,455.23
515,Zejun Chen (陈泽鋆),China,455.33
516,Ivan Vynnyk (Іван Винник),Ukraine,455.5
517,Anrui Cen (岑广瑞),China,455.52
518,Gabriel Marczak,Poland,455.56
519,Aleksander Osipov (Александр Осипов),Russia,455.76
520,Shu-Yii Luo (駱書翊),Taiwan,456.18
521,Xinjie Shi (施鑫杰),China,456.22
522,Jen Yuan Chen (陳楨元),Taiwan,456.65
523,Pavel Galaktionov,Russia,456.65
524,Zayn Khanani,USA,456.69
525,Samuel Knoll,USA,456.7
526,Gergely Novotni,Hungary,457.05
527,Carlos Méndez García-Barroso,Spain,457.1
528,Olivier Vos,Netherlands,457.28
529,François-Xavier Kerdelhué,France,457.41
530,Will Gurnett,Australia,457.59
531,Charles Koebele,USA,457.62
532,Jose Daniel Cobo Torres,Colombia,457.72
533,Preston Nguyen,USA,457.79
534,Xinyun Chen (陈新运),China,458.13
535,Benjamin Gottschalk,USA,458.14
536,Eli Parker,USA,458.31
537,Alejandro Cisneros Bracho,Mexico,458.34
538,Chenying Pei (裴琛英),China,458.48
539,Daniel Grabski,Austria,458.64
540,Raymond Castillo,USA,458.81
541,Vicenzo Guerino Cecchini,Brazil,458.86
542,Ethan Davis,USA,458.98
543,Kamal Kandpal,Canada,459.06
544,Angeline Wijaya (黃千儀),Indonesia,459.22
545,Ewsey Obzherin,Russia,459.41
546,Daniel Greigg,USA,459.54
547,Weisheng Chen (陈伟胜),China,459.56
548,Disheng Qiao (乔涤生),China,459.68
549,Yongzhe Mao (毛勇喆),China,459.82
550,Hassan Khanani,USA,459.97
551,Yusuke Takada (高田祐介),Japan,460.08
552,Chengzhang Lin (林成璋),China,460.37
553,Ryouga Hayashi (林竜河),Japan,460.62
