Delegate,Scrambles,E[Moves],4 moves,5 moves,6 moves,7 moves,8 moves,9 moves,10 moves,11 moves
Slimane Siroukane,28,8.82,0,0,0,0,8,17,3,0
Christian Saenz Valdivia,63,8.94,0,0,2,1,11,34,15,0
JP Bulman,70,8.87,0,0,1,2,19,32,15,1
Ömer Çetinkaya,35,8.74,0,0,0,2,9,20,4,0
Carlos Méndez García-Barroso,140,8.79,0,0,3,8,25,85,18,1
Tiana Diachenko,63,8.59,0,0,2,11,10,28,12,0
Renz Alexander Lumban,70,9.04,0,0,0,0,13,41,16,0
Javid Nabizade,133,8.74,0,0,1,4,38,75,15,0
Amit Sheffer,126,8.78,0,0,2,9,28,63,24,0
Alexander Mutch,126,8.63,0,1,5,8,30,63,19,0
Hilmar Magnusson,119,8.88,0,0,1,4,24,69,21,0
Danival Heide Sævarsson,35,8.63,0,0,1,3,8,19,4,0
Anton Rostovikov,112,8.73,0,0,0,9,26,63,14,0
Mike Hughey,112,8.74,0,0,2,9,27,52,22,0
Milind Bhoyroo,35,8.97,0,0,0,0,8,20,7,0
Rotem Ifrach,35,8.71,0,0,1,0,11,19,4,0
Lucero Esmeralda Alvarado Ruíz,105,8.66,0,0,2,7,34,44,18,0
Petri Vanhala,35,8.69,0,2,0,2,5,20,6,0
Justin Gou,42,8.98,0,0,0,1,6,28,7,0
Novianto Pambudi,322,8.76,0,0,3,17,81,174,47,0
Raphaël Pihet,42,8.88,0,0,1,0,6,31,4,0
Alex Davani,91,8.73,0,2,1,4,19,52,13,0
Zheng Li (李政),91,8.71,0,1,0,4,29,42,15,0
Pamulapati Sai Teja,91,8.77,0,0,1,8,21,42,19,0
Marius Rombout Ferreira van Riemsdijk,42,8.83,0,0,1,3,8,20,10,0
Glenn Mark Salgado,84,8.71,0,1,1,8,18,39,17,0
Viktor Zenk,189,8.68,0,0,2,12,60,86,29,0
Blake Thompson,77,8.66,0,0,2,4,22,39,10,0
Pedro Miranda Moreira,77,8.83,0,0,0,5,17,41,14,0
Jonathan Papa,77,8.65,0,1,0,10,16,37,13,0
Clément Cherblanc,35,8.49,0,2,0,3,10,14,6,0
Bruno Fonsêca Coelho Lima,140,8.76,0,2,1,7,33,72,25,0
Dror Vomberg,140,8.84,0,0,2,12,24,71,31,0
David Pearce,63,8.59,0,0,2,11,10,28,12,0
Marvin Solano,210,8.72,0,0,5,14,50,107,34,0
Mary Hennessy,203,8.81,0,1,3,13,43,99,44,0
