Name,Country,Streak,Type,Start Date,End Date
Suen Ming Chi (孫銘志),Hong Kong,770,clock single,2019-03-23,2021-05-01
Haiyan Zhuang (庄海燕),China,755,333bf average,2010-04-04,2012-04-28
Grzegorz Prusak,Poland,740,sq1 single,2007-07-08,2009-07-17
Lars Vandenbergh,Belgium,734,sq1 average,2004-10-10,2006-10-14
István Kocza,Hungary,728,333fm single,2010-07-16,2012-07-13
Jeff Park,USA,723,333bf average,2019-12-14,2021-12-06
Max Hilliard,USA,723,333bf single,2019-08-01,2021-07-24
Gabriel Alejandro Orozco Casillas,Mexico,720,444bf average,2010-07-24,2012-07-13
Cale Schoon,USA,707,555bf average,2015-04-18,2017-03-25
Zbigniew Zborowski,Poland,707,333fm single,2006-09-16,2008-08-23
Lucas Etter,USA,707,222 average,2015-09-12,2017-08-19
Leyan Lo,USA,707,333bf average,2006-03-11,2008-02-16
Sébastien Auroux,Germany,706,333fm average,2012-08-25,2014-08-01
Bálint Bodor,Hungary,699,minx average,2012-09-08,2014-08-08
Drew Brads,USA,696,pyram average,2014-08-23,2016-07-19
Yu Da-Hyun (유다현),Korea,636,minx average,2014-11-01,2016-07-29
Yohei Oka (岡要平),Japan,631,pyram average,2008-08-02,2010-04-25
Uladzislau Ushakov (Владислав Ушаков),Belarus,611,333fm single,2016-08-27,2018-04-30
Grant Tregay,USA,609,minx single,2003-08-23,2005-04-23
Grzegorz Łuczyna,Poland,602,pyram average,2006-09-16,2008-05-10
Alexander Yu,USA,593,333bf average,2008-02-16,2009-10-01
Andy Bellenir,USA,582,pyram single,2003-08-23,2005-03-27
Ville Seppänen,Finland,581,555bf single,2010-08-28,2012-03-31
Mike Godfrey,United Kingdom,573,sq1 single,2004-10-10,2006-05-06
Michał Halczuk,Poland,560,777 average,2010-08-28,2012-03-10
Gunnar Krig,Sweden,538,pyram single,2005-03-27,2006-09-16
Lin Chen (陈霖),China,532,777 single,2012-03-10,2013-08-24
Dan Cohen,USA,532,555 average,2009-03-21,2010-09-04
Piotr Kózka,Poland,526,pyram single,2006-09-16,2008-02-24
Muhammad Iril Khairul Anam,Indonesia,504,333mbf single,2010-01-30,2011-06-18
Rowe Hessler,USA,497,222 average,2009-05-30,2010-10-09
Yu Sajima (佐島優),Japan,490,clock average,2010-03-27,2011-07-30
Jackey Zheng,USA,468,sq1 single,2019-05-25,2020-09-04
Evan Liu,USA,463,clock average,2013-07-26,2014-11-01
Jimmy Coll,Belgium,448,333fm single,2009-04-24,2010-07-16
Ryan Patricio,USA,448,333oh average,2005-10-22,2007-01-13
Antoine Cantin,Canada,447,333oh average,2015-04-25,2016-07-15
Yuki Hayashi (林祐樹),Japan,440,444 average,2005-07-10,2006-09-23
Roman Strakhov,Russia,435,555bf single,2015-08-28,2016-11-05
Brandon Lin,USA,427,sq1 average,2016-09-24,2017-11-25
Marcel Peters,Germany,426,333fm average,2016-05-28,2017-07-28
Marcin Zalewski,Poland,420,333bf single,2013-06-29,2014-08-23
JeongMin Yu (유정민),Korea,412,333 average,2007-01-07,2008-02-23
Hong Zhang (张宏),China,400,333fm average,2010-04-10,2011-05-15
Michael Fung,Netherlands,392,444 single,2006-10-14,2007-11-10
David Woner,USA,358,clock single,2010-08-06,2011-07-30
Masayuki Akimoto (秋元正行),Japan,350,555 average,2003-08-23,2004-08-07
Brúnó Bereczki,Hungary,350,pyram single,2012-04-14,2013-03-30
SeungWoon Lee (이승운),Korea,350,333oh single,2008-09-20,2009-09-05
David Wesley,Sweden,350,555 single,2003-08-23,2004-08-07
Daniel Sheppard,United Kingdom,349,444bf single,2011-07-30,2012-07-13
Giovanni Contardi,Italy,343,333oh single,2012-12-08,2013-11-16
Anthony Hsu,USA,336,222 single,2006-05-27,2007-04-28
Yumu Tabuchi (田渕雄夢),Japan,330,333oh average,2009-10-09,2010-09-04
Yu Nakajima (中島悠),Japan,329,333 average,2008-03-29,2009-02-21
Rama Temmink,Netherlands,328,333oh average,2008-11-15,2009-10-09
Rafał Guzewicz,Poland,323,333mbf single,2007-10-05,2008-08-23
Tommy Szeliga,USA,308,sq1 single,2016-06-25,2017-04-29
Shivam Bansal,India,308,333mbf single,2018-07-22,2019-05-26
Łukasz Ciałoń,Poland,301,222 average,2006-09-16,2007-07-14
Tomasz Żołnowski,Poland,301,333 average,2009-04-04,2010-01-30
Vincent Sheu,USA,295,333fm average,2014-08-01,2015-05-23
Anssi Vanhala,Finland,295,333 average,2006-03-18,2007-01-07
Olivier Gaucher,France,292,555 average,2005-10-16,2006-08-04
Thibaut Jacquinot,France,289,333oh single,2007-08-09,2008-05-24
